d_tsv,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
5.62,97.28,52.76,1467.7909311347496,852.937531567417,1330.5725055365674,1137.5536603562082,92.88305996679102,16.653487165817225,897.3298185857788,189.01069726545273,0.03337125934184241,0.006350936991264695,1.8590304088648322,0.3394365716421715
8.62,68.79,58.24,852.0153299549654,413.58416472463944,1182.456903458732,1113.5071103494404,101.0076085036658,17.867829185385204,1248.939129191581,216.0203015912375,0.03005157150853003,0.007868283890149458,1.7466966930568286,0.45894134600306874
14.33,71.22,43.88,466.4367062738558,68.74355741076408,1040.7282198133014,563.6809580734895,106.45576414696806,23.29216429223042,1731.714255370134,442.83771229151796,0.018429920287548404,0.02324876514169528,1.4594124540452649,0.36491074497533926
8.33,96.51,43.25,798.9063614198839,404.9223416721508,1148.8767936936888,811.1566290703495,102.73899842022786,18.462136100963505,1155.8936165214195,253.56087453029932,0.02551251647956104,0.008494999623147667,1.6883520414900985,0.4754927985832122
6.47,79.87,58.29,609.694600774091,1306.768978502414,1464.226212144684,1209.769417096696,338.350033095413,38.381331641338484,1023.358950192792,191.50903077716816,0.033379063396011315,0.006316787265250744,1.4414288151217214,0.504430390353794
13.11,81.45,42.1,449.0139067431792,110.96757290889947,983.2995317670742,567.2226147643685,112.98160224061068,22.109666813405664,1596.523050586929,407.6686790852978,0.018997000094289035,0.01947539876390329,1.438907237910766,0.4849945632760156
8.02,86.84,49.14,889.364086951912,437.7561436775739,1208.417751346452,942.98703159386,99.05159767411892,17.540547840034645,1145.6581400237324,227.87998209780574,0.028076793669868837,0.007779107239040499,1.7634870047179392,0.4691603366354672
13.44,93.27,47.78,426.72636532733674,152.77649028954187,810.462235255939,639.6586688647545,111.5914312901435,18.947011553645222,1628.0437992391412,351.4352703324062,0.020583651187840127,0.018187582636790607,1.4936687482460238,0.4435027926157755
9.77,95.12,58.02,591.5116884831855,289.3958247417567,923.2409893698233,967.0995742096006,105.3805878616969,18.269236949940193,1298.0267510782578,222.21406269596287,0.02837625808435112,0.008569038757688562,1.5757252718133277,0.5028326000502347
11.97,74.04,46.87,490.22164583675533,201.5617235884762,905.63384749576,726.3972455739089,117.33086059370909,20.189364567829966,1498.5734896887375,319.69206166709347,0.02201891956716333,0.014744238946799607,1.4885078688913622,0.47578467088240867
7.8,93.63,45.86,911.5716373780151,450.7680934415982,1229.8822583309975,889.3641586276834,98.77011765896478,17.55589478617543,1112.9037578332839,234.52777414844235,0.027283443056499965,0.007787842375775813,1.7698605484308743,0.47175275319982124
10.33,92.47,58.82,545.4022776257639,257.4736833650395,884.7580696828281,957.7497317927924,106.84539266375393,18.38307875030145,1353.063684872714,227.92901145897272,0.02787192181940227,0.009236870623798597,1.5483266425230444,0.4990623169815004
8.83,61.48,44.93,863.7669644715387,428.3013628794092,1256.7413600406976,887.9626739518068,107.08718438878543,19.551197629651547,1279.6897552476394,268.24558514868966,0.02536211508613111,0.009720972450492431,1.7102571631946109,0.4485698649808813
6.89,68.2,58.71,618.5899983338579,1054.009222091967,1430.0386711920087,1233.5955480211642,291.2018784079219,37.118477840513535,1102.2632765537796,199.0758937091686,0.03270363085379346,0.006625648173725703,1.4035215648899346,0.521269538622686
10.83,69.75,53.45,561.8601554830008,263.55257343146405,960.1741225646905,912.4143237176693,114.21405576363819,19.94766477500546,1417.7493676281713,259.85618881966434,0.02560563964897255,0.010869850282101023,1.5263628564077152,0.4927657514397357
6.7,67.09,49.54,618.4366693980157,1191.029063973689,1538.314230377978,1092.5299158502132,366.3243974536565,39.851485103812784,1080.5870200182494,218.52342953489784,0.030070370443649186,0.0065937507519897,1.4591737817540609,0.5011914617816957
8.42,50.83,43.24,624.6169863348233,491.24005792422366,1540.7731024812895,920.793143962383,228.78558806011162,35.920304494379394,1287.0431230426364,276.9545379039608,0.025225355168107793,0.010501145556746309,1.4820302451136382,0.5180554480218753
10.89,54.85,52.87,613.5152358739889,295.106885743956,1044.1605436466205,959.5509623036688,118.56716540990799,21.03344835282855,1455.2659540590848,270.4304139102356,0.025422778988848035,0.011566441674009671,1.5381521362503656,0.4851903771436473
7.08,51.02,44.16,644.9729748441277,1032.0159617743059,1704.2781300887443,1027.8486061591352,404.6647875572662,42.54016785981138,1184.4983948630545,251.99267099972855,0.02730898753588617,0.007341714986903012,1.5244322714041625,0.5130761375802384
9.39,54.34,55.4,814.4020260226441,397.22672929651594,1201.5942573926175,1090.6535238269132,107.50683261125002,19.404787287203554,1356.3208911088564,239.75403658057513,0.028133387537428976,0.009199723656538176,1.6981656261767233,0.451505251245256
14.97,60.33,52.61,497.2550862244871,89.75278747525549,996.6109672006202,738.9805414456465,133.5003220931888,20.791914251020632,1820.178532418188,369.7525861369264,0.020795507135837867,0.022585638283461454,1.551073184898982,0.4200233259094569
8.4,66.03,52.88,911.3467348676203,443.105927132596,1255.9865042294982,1045.2160430883728,101.74165343989155,18.175444099237946,1231.6030670145988,228.70050865764955,0.02869520582977578,0.008102687583486028,1.765732367193243,0.4497148738516903
12.35,88.31,45.27,454.9471119456575,175.25400640625188,853.6434297377327,653.0934660916206,114.35024611822129,19.513162883317044,1514.014629471191,339.1904206184423,0.020930494165603962,0.015645689470462725,1.4861709867442119,0.4639649796831212
5.02,90.1,41.08,1025.081933155561,2045.8706293998232,1876.2936420977449,1018.3161754250073,149.54442648627932,35.817353778946625,845.4563968593765,214.19649000550334,0.03020235879311598,0.006088468810790792,1.6257813791679931,0.428277579252977
12.89,64.36,57.22,470.19260463801055,186.74824204550495,856.5395128963082,901.8244138587771,112.69564274640717,19.266608198806345,1594.6999246675862,282.7497658934658,0.024322267703663317,0.014094171851826586,1.515325315598113,0.4560549924334208
8.02,52.47,53.66,644.0060675881365,622.9327907613383,1395.0750906941732,1151.2687694783415,229.73490383673442,33.725996301138935,1259.044239220055,229.91379483683028,0.029358900108704473,0.007600214996702748,1.3628962015066324,0.5368430074311996
10.18,56.48,44.53,547.6290660956164,247.9279905748137,1331.4400169462394,821.506015489561,167.56290769546652,29.414144398148245,1394.3927416067438,300.4173443212292,0.0234496325755376,0.016947850638801925,1.4540877871984714,0.5219545934921961
10.61,99.81,44.78,533.0589826174345,237.01230515468887,922.4389554797812,710.7274555474819,110.09080893009103,19.320936933020697,1368.730808884424,290.4359302702184,0.02285522107245029,0.012316646122200773,1.5259324969563288,0.4913550565155989
14.0,97.17,40.52,438.7824055635544,141.26107107420899,890.0665494250079,477.09931581912906,124.70680884545106,21.284711772270065,1679.1752478054402,475.4577699672778,0.017452184264947247,0.022394544429695094,1.4532706547939258,0.44283263093610475
